voted_for_in_2012_election,political_spectrum,gender,living_location,education,reltrad,social_class
Barack Obama,4-Moderate,Female,suburb,Postgraduate work/Degree,Black Protestant,Middle class
Barack Obama,6-Liberal,Male,small-city,Some college,No Affiliation,Lower middle class
Barack Obama,6-Liberal,Female,suburb,College graduate,Catholic,Upper middle class
Mitt Romney,2-Conservative,Female,large-city,College graduate,Catholic,Middle class
Did not vote,4-Moderate,Female,small-city,College graduate,No Affiliation,Lower middle class
Barack Obama,6-Liberal,Female,large-city,College graduate,No Affiliation,Middle class
Barack Obama,5-Leaning liberal,Male,large-city,Postgraduate work/Degree,Other,Lower middle class
Mitt Romney,2-Conservative,Male,rural,Some college,Evangelical Protestant,Lower middle class
Mitt Romney,1-Extremely Conservative,Male,rural,Some college,Evangelical Protestant,Lower class
Barack Obama,6-Liberal,Male,small-city,College graduate,No Affiliation,Middle class
Barack Obama,6-Liberal,Female,suburb,College graduate,Evangelical Protestant,Middle class
Someone else,2-Conservative,Female,large-city,Some college,Catholic,Middle class
Barack Obama,2-Conservative,Male,small-city,College graduate,Black Protestant,Middle class
Barack Obama,6-Liberal,Male,small-city,College graduate,No Affiliation,Upper middle class
Barack Obama,6-Liberal,Male,large-city,Postgraduate work/Degree,Evangelical Protestant,Upper middle class
Did not vote,2-Conservative,Male,small-city,College graduate,Evangelical Protestant,Lower middle class
Mitt Romney,3-Leaning Conservative,Male,suburb,Some college,Mainline Protestant,Middle class
Mitt Romney,2-Conservative,Female,small-city,Trade/Technical/Vocational training,Evangelical Protestant,Middle class
Did not vote,4-Moderate,Female,suburb,Some college,Mainline Protestant,Middle class
Mitt Romney,2-Conservative,Male,large-city,Postgraduate work/Degree,Mainline Protestant,Middle class
Mitt Romney,2-Conservative,Female,rural,Some college,Evangelical Protestant,Middle class
Mitt Romney,3-Leaning Conservative,Male,small-city,College graduate,Evangelical Protestant,Lower middle class
Barack Obama,4-Moderate,Male,suburb,Some college,Catholic,Middle class
Mitt Romney,4-Moderate,Male,rural,Less than high school (no diploma),Catholic,Middle class
Did not vote,4-Moderate,Male,small-city,Postgraduate work/Degree,Catholic,Upper middle class
Mitt Romney,2-Conservative,Male,large-city,College graduate,Mainline Protestant,Middle class
Barack Obama,7-Extremely liberal,Female,small-city,College graduate,No Affiliation,Upper middle class
Did not vote,4-Moderate,Male,small-city,High school graduate,No Affiliation,Middle class
Mitt Romney,2-Conservative,Female,rural,High school graduate,Evangelical Protestant,Middle class
Mitt Romney,3-Leaning Conservative,Male,small-city,Postgraduate work/Degree,Evangelical Protestant,Upper middle class
Did not vote,4-Moderate,Male,suburb,College graduate,Catholic,Middle class
Barack Obama,4-Moderate,Female,suburb,College graduate,Catholic,Upper middle class
Mitt Romney,2-Conservative,Male,suburb,Postgraduate work/Degree,Catholic,Lower middle class
Mitt Romney,4-Moderate,Female,suburb,Trade/Technical/Vocational training,Evangelical Protestant,Middle class
,6-Liberal,Female,small-city,Postgraduate work/Degree,Other,Lower middle class
Barack Obama,2-Conservative,Female,small-city,College graduate,Catholic,Upper middle class
Did not vote,4-Moderate,Female,small-city,Trade/Technical/Vocational training,Catholic,Lower middle class
Barack Obama,4-Moderate,Female,small-city,Postgraduate work/Degree,No Affiliation,Upper middle class
Barack Obama,4-Moderate,Female,suburb,Trade/Technical/Vocational training,Black Protestant,Middle class
Barack Obama,5-Leaning liberal,Female,small-city,Postgraduate work/Degree,Mainline Protestant,Middle class
Mitt Romney,3-Leaning Conservative,,suburb,College graduate,Mainline Protestant,Lower middle class
Barack Obama,5-Leaning liberal,Male,small-city,Some college,Evangelical Protestant,Lower middle class
Mitt Romney,4-Moderate,Female,suburb,College graduate,Mainline Protestant,Lower middle class
Barack Obama,7-Extremely liberal,Female,large-city,College graduate,No Affiliation,Lower middle class
Barack Obama,5-Leaning liberal,Male,small-city,Postgraduate work/Degree,Catholic,Upper middle class
Mitt Romney,2-Conservative,Male,suburb,Postgraduate work/Degree,Catholic,Middle class
Barack Obama,2-Conservative,Male,large-city,College graduate,Black Protestant,Middle class
Mitt Romney,2-Conservative,Male,small-city,Postgraduate work/Degree,Mainline Protestant,Upper middle class
Mitt Romney,5-Leaning liberal,Male,small-city,Some college,Evangelical Protestant,Middle class
Mitt Romney,2-Conservative,Male,small-city,Some college,Catholic,Middle class
,4-Moderate,Male,small-city,Some college,No Affiliation,Lower middle class
Mitt Romney,2-Conservative,Male,suburb,Trade/Technical/Vocational training,Catholic,Middle class
Mitt Romney,2-Conservative,Male,rural,Some college,Mainline Protestant,Middle class
Mitt Romney,2-Conservative,Female,rural,College graduate,Mainline Protestant,Middle class
Mitt Romney,2-Conservative,Male,suburb,Some college,Evangelical Protestant,Lower middle class
Barack Obama,6-Liberal,Male,small-city,College graduate,Mainline Protestant,Lower middle class
Barack Obama,3-Leaning Conservative,Female,large-city,Less than high school (no diploma),Catholic,Lower middle class
Mitt Romney,2-Conservative,Male,small-city,College graduate,Mainline Protestant,Middle class
Mitt Romney,2-Conservative,Male,small-city,Some college,No Affiliation,Middle class
Barack Obama,5-Leaning liberal,Female,large-city,Postgraduate work/Degree,Catholic,Middle class
Barack Obama,4-Moderate,Male,small-city,Some college,Evangelical Protestant,Upper middle class
Barack Obama,4-Moderate,Male,small-city,College graduate,Catholic,Middle class
Barack Obama,4-Moderate,Female,suburb,Some college,Catholic,Middle class
Mitt Romney,4-Moderate,Male,small-city,Postgraduate work/Degree,Jewish,Lower class
Mitt Romney,3-Leaning Conservative,Female,small-city,Trade/Technical/Vocational training,Mainline Protestant,Lower middle class
Barack Obama,3-Leaning Conservative,Female,small-city,Trade/Technical/Vocational training,Catholic,Upper middle class
Did not vote,5-Leaning liberal,Male,small-city,High school graduate,Catholic,Lower class
Barack Obama,6-Liberal,Female,large-city,Postgraduate work/Degree,Mainline Protestant,Upper middle class
Did not vote,6-Liberal,Female,rural,High school graduate,Evangelical Protestant,Lower class
Barack Obama,6-Liberal,Female,suburb,Postgraduate work/Degree,Mainline Protestant,UpperClass
Mitt Romney,2-Conservative,Female,small-city,Some college,Evangelical Protestant,Middle class
Barack Obama,4-Moderate,Male,suburb,Postgraduate work/Degree,Catholic,Middle class
Barack Obama,4-Moderate,Male,large-city,Postgraduate work/Degree,Evangelical Protestant,Middle class
Someone else,4-Moderate,Male,suburb,Some college,Catholic,Lower middle class
Barack Obama,6-Liberal,Male,small-city,Postgraduate work/Degree,Other,Upper middle class
Did not vote,,Male,large-city,Some college,Catholic,Lower class
Barack Obama,6-Liberal,Male,small-city,Trade/Technical/Vocational training,Mainline Protestant,Lower middle class
Barack Obama,2-Conservative,Female,large-city,High school graduate,Catholic,Lower class
Barack Obama,6-Liberal,Male,small-city,Postgraduate work/Degree,Mainline Protestant,Middle class
Barack Obama,6-Liberal,Female,suburb,High school graduate,Catholic,Middle class
Barack Obama,6-Liberal,Male,large-city,College graduate,No Affiliation,Middle class
Did not vote,4-Moderate,Male,large-city,Less than high school (no diploma),Evangelical Protestant,Lower class
Barack Obama,6-Liberal,Male,large-city,Postgraduate work/Degree,No Affiliation,Upper middle class
Did not vote,4-Moderate,Male,suburb,High school graduate,Black Protestant,Lower class
Mitt Romney,3-Leaning Conservative,Male,rural,Trade/Technical/Vocational training,Evangelical Protestant,Lower middle class
Barack Obama,,Female,small-city,High school graduate,Mainline Protestant,
Did not vote,4-Moderate,Female,small-city,High school graduate,Mainline Protestant,Lower class
,4-Moderate,Female,suburb,High school graduate,Evangelical Protestant,Lower middle class
Barack Obama,4-Moderate,Female,small-city,Less than high school (no diploma),Evangelical Protestant,Middle class
Mitt Romney,2-Conservative,Male,small-city,Some college,Catholic,Middle class
Barack Obama,6-Liberal,Female,suburb,College graduate,Catholic,Lower middle class
Mitt Romney,2-Conservative,Female,large-city,College graduate,Evangelical Protestant,Middle class
Barack Obama,4-Moderate,Male,suburb,High school graduate,Mainline Protestant,Lower middle class
Barack Obama,4-Moderate,Female,small-city,College graduate,Mainline Protestant,Upper middle class
Barack Obama,4-Moderate,Male,rural,Some college,Catholic,Middle class
,,Male,large-city,High school graduate,Black Protestant,
Mitt Romney,1-Extremely Conservative,Male,small-city,High school graduate,Evangelical Protestant,Upper middle class
Barack Obama,4-Moderate,Female,small-city,Postgraduate work/Degree,Catholic,Lower middle class
Barack Obama,,Female,large-city,Some college,Catholic,
Barack Obama,7-Extremely liberal,Female,rural,College graduate,Catholic,Middle class
Mitt Romney,2-Conservative,Male,small-city,Some college,Evangelical Protestant,Middle class
Barack Obama,6-Liberal,Male,,High school graduate,No Affiliation,Lower middle class
Barack Obama,6-Liberal,Female,small-city,Some college,Mainline Protestant,Lower middle class
Barack Obama,4-Moderate,Female,small-city,Some college,Catholic,Lower middle class
Barack Obama,5-Leaning liberal,Female,rural,Some college,Mainline Protestant,Lower middle class
Mitt Romney,3-Leaning Conservative,Male,suburb,College graduate,No Affiliation,Middle class
Mitt Romney,2-Conservative,Male,small-city,High school graduate,Mainline Protestant,Lower middle class
Mitt Romney,4-Moderate,Female,suburb,Postgraduate work/Degree,No Affiliation,Middle class
Barack Obama,7-Extremely liberal,Male,large-city,High school graduate,No Affiliation,Lower middle class
Barack Obama,2-Conservative,Female,rural,High school graduate,Evangelical Protestant,Lower middle class
Did not vote,4-Moderate,Female,small-city,Some college,Evangelical Protestant,Lower middle class
Mitt Romney,4-Moderate,Female,suburb,Some college,Other,Upper middle class
Someone else,3-Leaning Conservative,Male,large-city,Postgraduate work/Degree,Catholic,Lower middle class
Barack Obama,5-Leaning liberal,Female,rural,Postgraduate work/Degree,Other,Middle class
Barack Obama,5-Leaning liberal,Female,large-city,Postgraduate work/Degree,Evangelical Protestant,Middle class
Mitt Romney,2-Conservative,Female,suburb,College graduate,Catholic,Upper middle class
Barack Obama,6-Liberal,Male,suburb,Postgraduate work/Degree,Other,Lower class
Did not vote,4-Moderate,Male,small-city,Less than high school (no diploma),Evangelical Protestant,Lower class
Mitt Romney,4-Moderate,Male,small-city,Trade/Technical/Vocational training,No Affiliation,Lower middle class
,,Female,large-city,College graduate,Catholic,Middle class
Did not vote,3-Leaning Conservative,Female,small-city,Some college,Evangelical Protestant,Middle class
Barack Obama,6-Liberal,Male,large-city,Some college,No Affiliation,Lower class
Barack Obama,5-Leaning liberal,Female,dont-know,High school graduate,No Affiliation,Lower middle class
Did not vote,4-Moderate,Female,small-city,College graduate,Evangelical Protestant,Lower middle class
Barack Obama,6-Liberal,Female,large-city,Some college,Catholic,Middle class
Mitt Romney,2-Conservative,Male,suburb,Postgraduate work/Degree,Catholic,Upper middle class
Did not vote,1-Extremely Conservative,Female,suburb,College graduate,Evangelical Protestant,Upper middle class
Mitt Romney,2-Conservative,Female,suburb,College graduate,Evangelical Protestant,Lower middle class
Did not vote,4-Moderate,Female,large-city,Some college,No Affiliation,Lower middle class
Barack Obama,6-Liberal,Male,large-city,Trade/Technical/Vocational training,Catholic,Middle class
Mitt Romney,1-Extremely Conservative,Female,large-city,College graduate,Evangelical Protestant,Upper middle class
Barack Obama,4-Moderate,Male,large-city,College graduate,Jewish,Middle class
Mitt Romney,2-Conservative,Male,small-city,Some college,Catholic,Middle class
Barack Obama,5-Leaning liberal,Female,suburb,College graduate,No Affiliation,Upper middle class
Barack Obama,6-Liberal,Male,small-city,Postgraduate work/Degree,Catholic,Middle class
Mitt Romney,5-Leaning liberal,Male,large-city,Less than high school (no diploma),Evangelical Protestant,Lower class
Barack Obama,4-Moderate,Female,small-city,Less than high school (no diploma),Evangelical Protestant,Lower class
Mitt Romney,2-Conservative,Male,suburb,Postgraduate work/Degree,Mainline Protestant,Middle class
Barack Obama,4-Moderate,Female,large-city,Some college,Black Protestant,Lower middle class
Barack Obama,5-Leaning liberal,Male,small-city,High school graduate,Black Protestant,Lower middle class
Barack Obama,6-Liberal,Male,large-city,Postgraduate work/Degree,No Affiliation,Upper middle class
Barack Obama,6-Liberal,,,Less than high school (no diploma),Black Protestant,Middle class
Mitt Romney,4-Moderate,Female,suburb,Postgraduate work/Degree,Catholic,Upper middle class
Someone else,4-Moderate,Female,suburb,Trade/Technical/Vocational training,No Affiliation,Middle class
Barack Obama,6-Liberal,Female,rural,Trade/Technical/Vocational training,Mainline Protestant,Middle class
Mitt Romney,4-Moderate,Male,rural,Trade/Technical/Vocational training,Evangelical Protestant,Lower middle class
Barack Obama,7-Extremely liberal,Female,large-city,Some college,Black Protestant,Middle class
Did not vote,4-Moderate,Female,small-city,Postgraduate work/Degree,Evangelical Protestant,Middle class
Barack Obama,6-Liberal,Male,large-city,Less than high school (no diploma),Evangelical Protestant,Lower middle class
Mitt Romney,1-Extremely Conservative,Male,suburb,College graduate,No Affiliation,Middle class
Mitt Romney,3-Leaning Conservative,Female,rural,Some college,Catholic,Middle class
Someone else,2-Conservative,Female,small-city,Some college,No Affiliation,Middle class
Barack Obama,4-Moderate,Male,small-city,Postgraduate work/Degree,Mainline Protestant,Middle class
Barack Obama,4-Moderate,Female,small-city,High school graduate,Mainline Protestant,Lower middle class
Mitt Romney,3-Leaning Conservative,Male,suburb,High school graduate,Mainline Protestant,Middle class
Mitt Romney,3-Leaning Conservative,Male,rural,High school graduate,Mainline Protestant,Middle class
Barack Obama,7-Extremely liberal,Male,large-city,Postgraduate work/Degree,Mainline Protestant,Upper middle class
Barack Obama,4-Moderate,Female,dont-know,,Other,Lower middle class
Mitt Romney,4-Moderate,Female,small-city,College graduate,Evangelical Protestant,Middle class
Barack Obama,6-Liberal,Female,large-city,Postgraduate work/Degree,Jewish,Upper middle class
Barack Obama,6-Liberal,Female,suburb,Postgraduate work/Degree,Mainline Protestant,Upper middle class
Someone else,3-Leaning Conservative,Male,suburb,Postgraduate work/Degree,Mainline Protestant,Middle class
Barack Obama,4-Moderate,Male,suburb,College graduate,Catholic,Middle class
Mitt Romney,1-Extremely Conservative,Male,suburb,College graduate,Evangelical Protestant,Middle class
Barack Obama,6-Liberal,Female,large-city,Postgraduate work/Degree,No Affiliation,Upper middle class
Barack Obama,6-Liberal,Female,large-city,College graduate,Catholic,Upper middle class
Barack Obama,4-Moderate,Female,large-city,Some college,Catholic,Lower middle class
Barack Obama,4-Moderate,Male,large-city,Some college,Evangelical Protestant,Lower middle class
Mitt Romney,3-Leaning Conservative,Male,suburb,Postgraduate work/Degree,Evangelical Protestant,UpperClass
Mitt Romney,2-Conservative,Male,small-city,High school graduate,Evangelical Protestant,Lower class
Barack Obama,6-Liberal,Female,suburb,Postgraduate work/Degree,No Affiliation,Middle class
Mitt Romney,2-Conservative,Female,small-city,College graduate,Evangelical Protestant,Upper middle class
Barack Obama,4-Moderate,Female,small-city,High school graduate,No Affiliation,Middle class
Barack Obama,5-Leaning liberal,Female,suburb,Some college,No Affiliation,Middle class
Someone else,3-Leaning Conservative,Male,rural,College graduate,Catholic,Middle class
Barack Obama,5-Leaning liberal,Female,suburb,College graduate,No Affiliation,Middle class
Barack Obama,6-Liberal,Female,small-city,College graduate,Mainline Protestant,Middle class
Barack Obama,7-Extremely liberal,Female,suburb,College graduate,No Affiliation,Upper middle class
Barack Obama,4-Moderate,Female,suburb,Some college,No Affiliation,Middle class
Mitt Romney,3-Leaning Conservative,Male,small-city,College graduate,Catholic,Middle class
Barack Obama,6-Liberal,Female,small-city,College graduate,Catholic,Lower middle class
Barack Obama,4-Moderate,Female,small-city,Trade/Technical/Vocational training,Evangelical Protestant,Lower middle class
Barack Obama,5-Leaning liberal,Male,suburb,College graduate,No Affiliation,Upper middle class
Barack Obama,3-Leaning Conservative,Male,small-city,High school graduate,Evangelical Protestant,Lower class
Barack Obama,2-Conservative,Female,small-city,Postgraduate work/Degree,Black Protestant,Middle class
Barack Obama,3-Leaning Conservative,Male,large-city,Some college,Mainline Protestant,Middle class
,6-Liberal,Male,large-city,College graduate,No Affiliation,Lower middle class
Mitt Romney,1-Extremely Conservative,Male,small-city,College graduate,Evangelical Protestant,Middle class
Mitt Romney,2-Conservative,Male,rural,College graduate,Evangelical Protestant,Middle class
Mitt Romney,1-Extremely Conservative,Male,small-city,Less than high school (no diploma),Evangelical Protestant,Lower middle class
Mitt Romney,2-Conservative,Female,suburb,Postgraduate work/Degree,Evangelical Protestant,Upper middle class
Barack Obama,6-Liberal,Male,suburb,Some college,No Affiliation,Middle class
Barack Obama,4-Moderate,Female,suburb,High school graduate,Evangelical Protestant,Lower middle class
Mitt Romney,3-Leaning Conservative,Male,small-city,Postgraduate work/Degree,Evangelical Protestant,Upper middle class
Barack Obama,4-Moderate,Male,suburb,Some college,No Affiliation,Lower middle class
Barack Obama,6-Liberal,Female,small-city,Less than high school (no diploma),Mainline Protestant,Lower middle class
Barack Obama,7-Extremely liberal,Female,large-city,Postgraduate work/Degree,No Affiliation,Middle class
Mitt Romney,4-Moderate,Male,rural,Some college,No Affiliation,Lower middle class
Barack Obama,4-Moderate,Female,rural,High school graduate,Catholic,Lower middle class
Mitt Romney,2-Conservative,Male,suburb,College graduate,Catholic,Upper middle class
,2-Conservative,Male,suburb,Postgraduate work/Degree,Other,Middle class
Barack Obama,4-Moderate,Female,suburb,Some college,Other,Lower middle class
Mitt Romney,1-Extremely Conservative,Female,small-city,Postgraduate work/Degree,Evangelical Protestant,Middle class
Did not vote,4-Moderate,Male,suburb,Postgraduate work/Degree,Catholic,Lower class
Barack Obama,4-Moderate,Male,suburb,Trade/Technical/Vocational training,Catholic,Middle class
Did not vote,,Female,rural,High school graduate,Evangelical Protestant,Lower middle class
Barack Obama,4-Moderate,Female,small-city,High school graduate,No Affiliation,Middle class
Mitt Romney,3-Leaning Conservative,Female,rural,College graduate,Evangelical Protestant,Middle class
Barack Obama,6-Liberal,Female,large-city,Some college,Catholic,Middle class
Barack Obama,4-Moderate,Female,large-city,Postgraduate work/Degree,Catholic,Middle class
Did not vote,2-Conservative,Female,rural,Some college,Evangelical Protestant,Lower class
Barack Obama,6-Liberal,Female,large-city,College graduate,No Affiliation,Middle class
Barack Obama,3-Leaning Conservative,Female,small-city,Some college,Other,Lower middle class
Barack Obama,5-Leaning liberal,Female,small-city,College graduate,Catholic,Lower middle class
Mitt Romney,2-Conservative,Male,suburb,High school graduate,Evangelical Protestant,Middle class
Barack Obama,7-Extremely liberal,Male,large-city,Less than high school (no diploma),No Affiliation,Lower middle class
Mitt Romney,2-Conservative,Male,suburb,Trade/Technical/Vocational training,Mainline Protestant,Middle class
Mitt Romney,2-Conservative,Female,suburb,Some college,Evangelical Protestant,Upper middle class
Mitt Romney,4-Moderate,Female,suburb,Some college,Catholic,Middle class
Barack Obama,4-Moderate,Male,suburb,High school graduate,Mainline Protestant,Middle class
,2-Conservative,Female,large-city,Postgraduate work/Degree,Evangelical Protestant,Lower middle class
Mitt Romney,4-Moderate,Female,small-city,Some college,Catholic,Middle class
Did not vote,2-Conservative,Male,rural,Some college,Evangelical Protestant,Upper middle class
Barack Obama,4-Moderate,Female,small-city,Trade/Technical/Vocational training,Evangelical Protestant,Middle class
